"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0414110","Krušnohorské plató","Hřebečná, Mauritius - dolní jáma","Myotis myotis","1324",1,1,33,182,300,386,139,1,2021-09-03,2
"CZ0414110","Krušnohorské plató","Hřebečná, Mauritius - horní jáma","Myotis myotis","1324",1,1,36,182,300,386,139,0,2021-09-03,1
"CZ0414110","Krušnohorské plató","Mauricius - důl","Myotis myotis","1324",NA,NA,NA,182,300,386,139,0,2020-03-07,0
"CZ0414110","Krušnohorské plató","Potůčky - Bludná - Zuzana","Myotis myotis","1324",1,1,1,182,300,386,139,0,2021-02-10,1
"CZ0414110","Krušnohorské plató","Potůčky - štola Boží požehnání","Myotis myotis","1324",1,1,7,182,300,386,139,1,2021-02-10,2
"CZ0414110","Krušnohorské plató","Ryžovna - Gottlib","Myotis myotis","1324",1,1,26,182,300,386,139,1,2021-02-09,2
"CZ0414110","Krušnohorské plató","Ryžovna - Kohlreuter","Myotis myotis","1324",1,1,27,182,300,386,139,1,2021-02-09,2
"CZ0414110","Krušnohorské plató","Ryžovna - štola Dolní Michael","Myotis myotis","1324",1,1,3,182,300,386,139,1,2021-02-09,2
"CZ0414110","Krušnohorské plató","Ryžovna - štola Kapsa","Myotis myotis","1324",NA,NA,NA,182,300,386,139,0,2020-02-21,0
"CZ0414110","Krušnohorské plató","Ryžovna - štola Kolejová","Myotis myotis","1324",NA,NA,NA,182,300,386,139,NA,2016-01-30,0
"CZ0414110","Krušnohorské plató","Ryžovna - štola Tetřeví výduch","Myotis myotis","1324",1,1,3,182,300,386,139,0,2021-02-09,1
"CZ0414110","Krušnohorské plató","Ryžovna - štola u Černé","Myotis myotis","1324",1,1,10,182,300,386,139,1,2021-02-09,2
"CZ0414110","Krušnohorské plató","Ryžovna - štola Zlatokopecká","Myotis myotis","1324",1,1,10,182,300,386,139,1,2021-02-09,2
