SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY
CZ0314123;3150;NA;NA;NA
CZ0314123;9,10E+01;29,54165272;21,95407171;60
CZ0314123;6430;NA;NA;NA
CZ0314124;6410;NA;NA;NA
CZ0314124;9130;67,67939633;44,85462164;85
CZ0314124;9110;119,0720537;84,60597588;133
CZ0314124;9170;5,257636014;3,197126444;29
CZ0314124;6510;NA;NA;NA
CZ0314124;8220;NA;NA;NA
CZ0314124;91U0;0;0;0
CZ0314124;9180;2,383941715;0;33
CZ0314124;3260;NA;NA;NA
CZ0314124;6190;NA;NA;NA
CZ0314124;6210;NA;NA;NA
CZ0314124;6210p;NA;NA;NA
CZ0314634;8310;NA;NA;NA
CZ0314635;3130;NA;NA;NA
CZ0314636;6230;NA;NA;NA
CZ0314636;6510;NA;NA;NA
CZ0314637;7140;NA;NA;NA
CZ0314637;3140;NA;NA;NA
CZ0314638;3130;NA;NA;NA
CZ0314639;3160;NA;NA;NA
CZ0314639;3140;NA;NA;NA
CZ0314640;3130;NA;NA;NA
CZ0314641;6410;NA;NA;NA
CZ0314641;6510;NA;NA;NA
CZ0314641;7140;NA;NA;NA
CZ0314641;9,10E+01;0;0;0
CZ0314641;6430;NA;NA;NA
CZ0314642;6410;NA;NA;NA
CZ0314648;6410;NA;NA;NA
CZ0320005;6410;NA;NA;NA
CZ0320013;6410;NA;NA;NA
CZ0320013;9,10E+01;0;0;0
CZ0320013;6430;NA;NA;NA
CZ0320022;9130;6,405539265;0;30
CZ0320022;9170;0,16702371;0;1
CZ0320022;9180;1,550548367;0;6
CZ0320023;91U0;0,227542486;0;1
CZ0320023;9150;0,537679164;0;1
CZ0320023;6110;NA;NA;NA
CZ0320029;9170;7,81E-05;0;2
CZ0320029;9180;0;0;0
CZ0320030;9110;1,381629565;0;4
CZ0320030;9180;5,73E-08;0;1
CZ0320037;6230;NA;NA;NA
CZ0320037;7140;NA;NA;NA
CZ0320043;91D0;0;0;0
CZ0320053;9130;17,95331909;3,188442367;65
CZ0320053;9170;10,32004473;0;50
CZ0320053;8220;NA;NA;NA
CZ0320053;9180;1,412936206;0;22
CZ0320053;8230;NA;NA;NA
CZ0320140;9130;2,975639427;0;15
CZ0320140;9180;0,266708837;0;5
CZ0320180;9410;0;0;0
CZ0320180;6410;NA;NA;NA
CZ0320180;9130;0,016138153;0;1
CZ0320180;9110;7,639399426;2,301745532;19
CZ0320180;9180;0,126049706;0;2
CZ0320180;7140;NA;NA;NA
CZ0320180;91D0;0,165258074;0;1
CZ0320180;9190;0;0;0
CZ0320437;6510;NA;NA;NA
CZ0322058;6230;NA;NA;NA
CZ0323142;3260;NA;NA;NA
CZ0323151;6430;NA;NA;NA
CZ0323159;3270;NA;NA;NA
CZ0323159;9170;6,40E-08;0;2
CZ0323159;6510;NA;NA;NA
CZ0323159;9180;1,10E-10;0;1
CZ0324025;9110;2,79E-06;0;1
CZ0324025;9170;0,142331614;0;3
CZ0324025;8220;NA;NA;NA
CZ0324025;9180;0,038773559;0;3
CZ0324025;8150;NA;NA;NA
CZ0324026;3260;NA;NA;NA
CZ0324026;7140;NA;NA;NA
CZ0324026;9,10E+01;11,21313938;9,634568511;22
CZ0324026;6430;NA;NA;NA
CZ0324029;6210;NA;NA;NA
CZ0324029;7140;NA;NA;NA
CZ0324032;6410;NA;NA;NA
CZ0324032;6230;NA;NA;NA
CZ0410001;4030;NA;NA;NA
CZ0410018;6210;NA;NA;NA
CZ0410020;3270;NA;NA;NA
CZ0410020;3260;NA;NA;NA
CZ0410020;3150;NA;NA;NA
CZ0410020;9,10E+01;0;0;0
CZ0410021;9410;4,545128431;1,301708441;10
CZ0410021;6510;NA;NA;NA
CZ0410021;7140;NA;NA;NA
CZ0410021;3160;NA;NA;NA
CZ0410021;91D0;0,703839255;0;5
CZ0410023;6410;NA;NA;NA
CZ0410023;4030;NA;NA;NA
CZ0410023;7140;NA;NA;NA
CZ0410023;3150;NA;NA;NA
CZ0410023;6430;NA;NA;NA
CZ0410038;7150;NA;NA;NA
CZ0410038;7140;NA;NA;NA
CZ0410040;9410;0,071367793;0;2
CZ0410040;7110;NA;NA;NA
CZ0410040;7120;NA;NA;NA
CZ0410040;4030;NA;NA;NA
CZ0410040;6520;NA;NA;NA
CZ0410040;7140;NA;NA;NA
CZ0410040;91D0;0,011401827;0;2
CZ0410046;4030;NA;NA;NA
CZ0410046;8220;NA;NA;NA
CZ0410047;7140;NA;NA;NA
CZ0410047;3150;NA;NA;NA
CZ0410047;3140;NA;NA;NA
CZ0410047;6430;NA;NA;NA
CZ0410150;7150;NA;NA;NA
CZ0410150;7140;NA;NA;NA
CZ0410150;3160;NA;NA;NA
CZ0410150;3150;NA;NA;NA
CZ0410150;91D0;0;0;0
CZ0410150;9,10E+01;0,020425905;0;1
CZ0410150;3140;NA;NA;NA
CZ0410150;1340;NA;NA;NA
CZ0410151;9170;0,176822002;0;2
CZ0410151;9180;0;0;0
CZ0410151;6210;NA;NA;NA
CZ0410151;6210p;NA;NA;NA
CZ0410155;9410;1,756550796;0;7
CZ0410155;6520;NA;NA;NA
CZ0410155;7140;NA;NA;NA
CZ0410155;6430;NA;NA;NA
CZ0410168;9410;3,246052511;0;9
CZ0410168;6230;NA;NA;NA
CZ0410168;6520;NA;NA;NA
CZ0410168;7140;NA;NA;NA
